#FORMAT: BEACON 
#PREFIX: http://d-nb.info/gnd/ 
#TARGET: http://www.deutsche-biographie.de/pnd{ID}.html#ndbcontent
#TARGETPREFIX: http://www.deutsche-biographie.de/{TARGETID}.html 
#FEED: http://www.historische-kommission-muenchen-editionen.de/beacon_ndb.txt 
#CONTACT: matthias.reinert@hk.badw.de 
#MESSAGE: Biographien der  NDB
#INSTITUTION: Historische Kommission bei der Bayerischen Akademie der Wissenschaften und Bayerische Staatsbibliothek 
#DESCRIPTION: Deutsche Biographie - Biographien der Neuen Deutschen Biographie (NDB) (hier 23481 Einträge)

#DATE: 2020-07-20
#REVISIT: 2021-01-16

118643525|Aachen, Hans von|sfz45545
118500015|Aal, Johannes|sfz15
104198273|dall'Abaco, Evaristo Felice|sfz17
100002307|Abbadie, Jacques|sfz19
118646419|Abbe, Ernst|sfz7153
118500074|Abbt, Thomas|sfz22
118643576|Abderhalden, Emil|sfz23
135607108|Abé, Richard|sfz24
135607116|Abée, Conrad|sfz25
116000996|Abegg, Julius|sfz19297
116001011|Abegg, Richard|sfz15125
132283557|Abegg-Arter, Carl|sfz30
116001097|Abeken, Bernhard Rudolf|sfz32
116001127|Abeken, Heinrich|sfz69276
101796641|Abeken, Hermann|sfz34
138044252|Abel|sfz36
116001739|Abel, Caspar|sfz47
119270285|Abel, Friedrich von|sfz40
120682494|Abel, Heinrich|sfz42
116001429|Abel, Karl|sfz45
118646583|Abel, Karl Friedrich|sfz46
11914543X|Abel, Karl von|sfz69277
129105910|Abel, Michael|sfz50
116001844|Abel, Othenio|sfz51
135607140|Abel, Willy|sfz54
1080923306|Abele von und zu Lilienberg|sfz55
116002034|Abele von und zu Lilienberg, Christoph Ignaz Freiherr von|sfz57
118500147|Abele von und zu Lilienberg, Matthias|sfz59
102520879|Abelinus, Johann Philipp|sfz60
122318331|Abenberg, Grafen von|sfz61
100852777|Abendroth, Amandus Augustus|sfz3466
125808305|Abendroth-Obentraut, Andreas Alfred von|sfz5
123455316|Abensberg|sfz6
116003197|Aberle, Moritz von|sfz7
118849719|Abert, Friedrich von|sfz10
118646540|Abert, Hermann|sfz11
118877895|Abert, Josef|sfz56502
